id;rif_contrat;id_modalidad;id_sub_modalidad;fec_inicio_cont;fec_fin_cont;nro_procedimiento;nro_contrato;id_estado_contrato;descr_contrato;bienes;servicios;obras;monto;dolar;euro;petros;bolivares;calidad;responsabilidad;conocimiento;oportunidad;total_calif;calificacion;notf_cont;fecha_not;medio;nro_oc_os;fileimagen;id_usuario;fecha_evaluacion
1;J312961155;4;0;2009-04-27;2009-04-30;37;37;16;POR LA COMPRA DE LEYES ;;;;3304.00;;;;;;;;;100;EXCELENTE;S;2010-08-30;OTRO;0511 SE LLAMO POR TELEFONO;;1;2010-08-30
2;J302400554;4;0;2009-04-13;2009-04-21;2745;2745;1;POR LA COMPRADE  SEIS (06) LAPTO HP W131LA#ABM;;;;67569.60;;;;;;;;;88;MUY BUENO;S;2009-04-23;EMAIL;2745;;1;2010-09-16
3;J315407981;4;0;2010-04-06;2010-05-10;2744;2744;1;COMPRA DE 30 TONER PARA PARA EQUIPOS DELCOP M2130 ;;;;64512.00;;;;;;;;;88;MUY BUENO;S;2010-08-26;EMAIL;murraad2006@hotmail.com;;1;2010-08-26
4;J315407981;4;0;2010-03-01;2010-04-14;2615;2615;1;POR LA COMPRA DE 500, CD-R COMPATIBLE 1X 48 PARA 80 MIN/700MB,500 DVD-R 120 MIN 4.7 GB-8X Y 30 TRANSPARENCIAS PARA FOTOCOPIADORA.;;;;4334.40;;;;;;;;;88;MUY BUENO;S;2010-08-26;EMAIL;2615;;1;2010-08-26
5;J315407981;4;0;2010-01-11;2010-02-25;2554;2554;1;"POR LA COMPRA DE 10 IMPRESORA LASER JET COLOR MARCA H.P. MODELO CM 232ON, ELOCIDAD DE IMPRESION HASTA 20 PAGINAS POR MINUTO Y 20 PAGINAS POR MINUTOS. 
L";;;;79553.60;;;;;;;;;88;MUY BUENO;S;2010-08-26;EMAIL;murraad2006@hotmail.com;;1;2010-08-26
6;J315407981;4;0;2010-01-21;2010-01-22;2545;2545;1;POR  LA  COMPRA DE 500  DVD EN BLANCO , 500 CD EN BLANCO Y 100 CASSETTES.;;;;5628.00;;;;;;;;;88;MUY BUENO;S;2010-08-30;EMAIL;2545;;1;2010-08-30
7;J304951256;4;0;2009-07-13;2009-07-20;2458;2458;1;POR LA REVISION Y REPARACION DE AIRE ACONDICIONADO DEL VEHICULO OPTRA PLACA MDX81L;;;;6932.80;;;;;;;;;100;EXCELENTE;S;2010-08-30;EMAIL;2458;;1;2010-08-30
8;J296364044;4;0;2010-10-07;2010-10-19;2351;2351;1;POR LA CONTRATACION DE UN ESPACIO PUBLICITARIO EN UNA EMISORA RADIAL AM PARA LA DIFUSION DE MENSAJES PUBLICITARIO.;;;;10948.00;;;;;;;;;100;EXCELENTE;S;2010-08-30;EMAIL;2351;;1;2010-08-30
9;J311307478;4;0;2009-08-12;2009-08-19;2526;2526;1;MESA DE TRABAJO DE LA GERENCIA DE INFORMACION Y RELACIONES PUBLICAS EN LA SALA GENERALISIMO FCO. DE MIRANDA POR AL CONTRATACION DE 02 MESONERO.;;;;672.00;;;;;;;;;100;EXCELENTE;S;2010-08-30;EMAIL;2526;;1;2010-08-30
10;J307596619;4;0;2009-04-27;2009-04-28;518;518;1;POR EL ALQUILER D EPLATOS , BANDEJAS TAZAS Y AZUCARERA. ;;;;219.52;;;;;;;;;88;MUY BUENO;S;2010-08-30;EMAIL;518;;1;2010-08-30
11;J307596619;4;0;2009-03-20;2009-03-20;511;511;1;POR EL ALQUILER DE PLATOS , BANDEJAS TAZAS AZUCARERA.;;;;8467.03;;;;;;;;;100;EXCELENTE;S;2010-08-30;EMAIL;511;;1;2010-08-30
12;J308023469;4;0;2009-12-11;2009-12-16;2497;2497;1;POR LA ELABORACION DE 11 CHEMISES CON LOGOS DE F.A.S Y BANDES AL FRENTE Y EN UNA MANGA FONDO AUTOADMINISTRATIVO DE SALUD Y EN LA OTRA EL RIF. BANDES .;;;;2217.60;;;;;;;;;88;MUY BUENO;S;2010-09-16;EMAIL;2497;;1;2010-09-16
13;J308023469;4;0;2009-11-11;2009-12-02;2506;2506;1;POR LA COMPRA DE 2000 BOLIGRAFOS NEGROS CON LOS LOGOS IMPRESOS DEL FONDO CONJUNTO CHINO VENEZOLANO Y BANDES ADEMAS DEL RIF. DE BANDES.500 TACOS ;;;;174003.20;;;;;;;;;88;MUY BUENO;S;2010-09-16;EMAIL;2506;;1;2010-09-16
14;J310036829;4;0;2009-12-11;2009-12-16;2485;2485;1;POR LA IMPRESIÃÂN DE 3000 DE DIPTICO NOMBRE 18 X18 CM (ABIERTO) Y 9 X18 CM CERRADO ,PAPEL GLASE 150 GR MATE COLOR POR AMBAS CARAS;;;;43680.00;;;;;;;;;88;MUY BUENO;S;2010-09-16;EMAIL;2485;;1;2010-09-16
15;J302400554;4;0;2010-10-15;2010-10-15;2260;2260;5;POR LA COMPRA DE DOS (02) KIT DE TRANSPARENCIA PARA IMPRESORA HP COLOR LASER JET 5500.;;;;25435.20;;;;;;;;;88;MUY BUENO;S;2010-02-02;EMAIL;2260;;1;2010-09-16
16;J302400554;4;0;2009-06-10;2009-06-17;2804;2804;1;POR LA COMPRA DE UNIDAD HP IMPRESORA LASER JET HP 4200 ;;;;22624.00;;;;;;;;;88;MUY BUENO;S;2010-09-17;EMAIL;2804;;1;2010-09-16
17;J294108539;4;0;2010-01-27;2010-01-28;2542;2542;1;POR EL CONCEPTO DE REFRIGERIO EN EL TORNEO COPA NAVIDAD 2009 2010 LUGAR EN LA CANCHA DEL CLUB LAGUITO FUERTE TIUNA.;;;;2525.00;;;;;;;;;88;MUY BUENO;S;2010-09-16;EMAIL;2542;;1;2010-09-16
18;J294108539;4;0;2010-02-22;2010-02-23;2577;2577;1;POR AL COMPRA DE DOS (02) CAVAS COLEMAN  Y 110 AJAS PARA REFRESCOS DE LIGTH DE LATAS;;;;26160.00;;;;;;;;;88;MUY BUENO;S;2010-09-16;EMAIL;2577;;1;2010-09-16
19;J294108539;4;0;2010-02-11;2010-02-17;2557;2557;1;POR LA CONTRATACION DELA MARCHA DE LA JUVENTUD REFRIGERIOS , MICROBUSES SONIDO ETC.;;;;55360.00;;;;;;;;;88;MUY BUENO;S;2010-09-16;EMAIL;2557;;1;2010-09-16
20;J297033017;4;0;2010-03-26;2010-03-30;2682;2682;1;POR LA REPARACION DE CUATRO (04) EQUIPOS DE AIRE ACONDICIONADOS QUE SURTEN AL SONIDOS;;;;41400.00;;;;;;;;;88;MUY BUENO;S;2010-09-16;EMAIL;2682;;1;2010-09-16
21;J297033017;4;0;2010-03-02;2010-03-03;2602;2602;1;POR LA REPARACION SPLIT MARCA YORK DE 10 TONELADAS DE REFRIGERACION ;;;;33608.00;;;;;;;;;88;MUY BUENO;S;2010-09-16;EMAIL;2602;;1;2010-09-16
22;J001346155;4;0;2010-02-19;2010-02-23;2596;2596;1;POR LA COMPRA DE MATERIALES PARA LA  LIMPIEZA ;;;;164841.60;;;;;;;;;88;MUY BUENO;S;2010-09-16;EMAIL;2596;;1;2010-09-16
23;J298230371;4;0;2010-02-09;2010-02-10;2585;2585;1;POR LA COMPRA DE 3000 UNIDADES DE PAPEL T/CARTA BASE 20RESMA (PALETA3) ;;;;208600.00;;;;;;;;;88;MUY BUENO;S;2010-09-20;EMAIL;2585;;1;2010-09-20
24;J302591139;4;0;2010-01-22;2010-02-17;1308;1308;1;POR LA PUBLICACION DE UN AVISO CONCURSO ABIERTO PARA LA ADQUISICION DE UN EQUIPO DE ENFRIAMIENTO TAMAÃÂO 2X 21 CM/COL MEDIOS DIARIO.;;;;5167.42;;;;;;;;;88;MUY BUENO;S;2010-09-20;EMAIL;1308;;1;2010-09-20
